APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2017.0,2017R01HL059367,814750.0,TargetOnly
2006.0,2006R01HL061001,458684.0,TargetOnly
2011.0,2011R01HL058812,413557.0,TargetOnly
2009.0,2009R01HL064159,519953.0,TargetOnly
2008.0,2008R01HL065405,620547.0,TargetOnly
2008.0,2008R01HL065709,493336.0,TargetOnly
2013.0,2013R01HL066088,373890.0,TargetOnly
2011.0,2011R01HL066088,425478.0,TargetOnly
2005.0,2005R01HL068884,1034192.0,TargetOnly
2007.0,2007R01HL070568,554889.0,TargetOnly
2010.0,2010R01HL022682,688140.0,TargetOnly
2019.0,2019R01HL071021,505746.0,TargetOnly
2016.0,2016R01HL071207,509362.0,TargetOnly
2017.0,2017R01HL070865,402705.0,TargetOnly
2006.0,2006R01HL074753,1267592.0,TargetOnly
2007.0,2007R01HL075794,884729.0,TargetOnly
2017.0,2017R01HL075662,419758.0,TargetOnly
2016.0,2016R01HL078610,436063.0,TargetOnly
2019.0,2019R01HL080477,696173.0,TargetOnly
2018.0,2018R01HL080477,741796.0,TargetOnly
2017.0,2017R01HL080477,818674.0,TargetOnly
2013.0,2013R01HL081162,491945.0,TargetOnly
2009.0,2009R01HL085144,478662.0,TargetOnly
2010.0,2010R01HL081893,961593.0,TargetOnly
2011.0,2011R01HL082896,489104.0,TargetOnly
2010.0,2010R01HL085251,2265824.0,TargetOnly
2013.0,2013R01HL087228,425848.0,TargetOnly
2012.0,2012R01HL087228,476677.0,TargetOnly
2008.0,2008R01HL087228,472348.0,TargetOnly
2010.0,2010R01HL089650,726864.0,TargetOnly
2016.0,2016R01HL057353,445311.0,TargetOnly
2012.0,2012R01HL085703,759069.0,TargetOnly
2016.0,2016R01HL087867,445311.0,TargetOnly
2012.0,2012R01HL089945,956037.0,TargetOnly
2016.0,2016R01HL088419,439740.0,TargetOnly
2014.0,2014R01HL093767,465387.0,TargetOnly
2013.0,2013R01HL094505,390729.0,TargetOnly
2013.0,2013R01HL095163,468421.0,TargetOnly
2018.0,2018R01HL095590,445426.0,TargetOnly
2013.0,2013R01HL095668,476341.0,TargetOnly
2014.0,2014R01HL093042,507573.0,TargetOnly
2013.0,2013R01HL095924,595191.0,TargetOnly
2018.0,2018R01HL098435,362500.0,TargetOnly
2013.0,2013R01HL098538,767003.0,TargetOnly
2017.0,2017R01HL098839,387705.0,TargetOnly
2015.0,2015R01HL101274,817295.0,TargetOnly
2014.0,2014R01HL104133,437987.0,TargetOnly
2013.0,2013R01HL104133,439383.0,TargetOnly
2014.0,2014R01HL103612,1512665.0,TargetOnly
2015.0,2015R01HL105591,517342.0,TargetOnly
2019.0,2019R01HL105756,663520.0,TargetOnly
2017.0,2017R01HL105756,701642.0,TargetOnly
2016.0,2016R01HL105756,731787.0,TargetOnly
2018.0,2018R01HL105945,430475.0,TargetOnly
2020.0,2020R01HL106173,902379.0,TargetOnly
2020.0,2020R01HL106579,567024.0,TargetOnly
2016.0,2016R01HL106579,817120.0,TargetOnly
2013.0,2013R01HL106845,555471.0,TargetOnly
2012.0,2012R01HL106845,600709.0,TargetOnly
2011.0,2011R01HL106845,635284.0,TargetOnly
2015.0,2015R01HL107816,624905.0,TargetOnly
2014.0,2014R01HL107816,598150.0,TargetOnly
2013.0,2013R01HL107816,608647.0,TargetOnly
