APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2004.0,2004P01AG003991,2389807.0,TargetOnly
2003.0,2003P01AG003991,2685863.0,TargetOnly
2002.0,2002P01AG003991,2673332.0,TargetOnly
1999.0,1999P01AG004220,0.0,TargetOnly
2008.0,2008P01AG004342,1743540.0,TargetOnly
2000.0,2000P01AG004342,1999620.0,TargetOnly
2010.0,2010P01AG004418,1285254.0,TargetOnly
2009.0,2009P01AG004418,1281995.0,TargetOnly
2008.0,2008P01AG004418,1241074.0,TargetOnly
2007.0,2007P01AG004418,1277670.0,TargetOnly
2004.0,2004P01AG004418,1382715.0,TargetOnly
2002.0,2002P01AG004418,1371963.0,TargetOnly
2006.0,2006P01AG004953,2878307.0,TargetOnly
2004.0,2004P01AG004953,3474913.0,TargetOnly
2012.0,2012P01AG005119,1991635.0,TargetOnly
2011.0,2011P01AG005119,2032783.0,TargetOnly
2010.0,2010P01AG005119,2146569.0,TargetOnly
2009.0,2009P01AG005119,2118540.0,TargetOnly
2008.0,2008P01AG005119,2092296.0,TargetOnly
2006.0,2006P01AG005119,1388348.0,TargetOnly
2003.0,2003P01AG005119,1535357.0,TargetOnly
2000.0,2000P01AG005119,944423.0,TargetOnly
2007.0,2007P01AG007232,2795513.0,TargetOnly
2006.0,2006P01AG007232,2934451.0,TargetOnly
2005.0,2005P01AG007232,3329429.0,TargetOnly
2004.0,2004P01AG007232,3075274.0,TargetOnly
2003.0,2003P01AG007232,3282260.0,TargetOnly
2001.0,2001P01AG007232,3515269.0,TargetOnly
1999.0,1999P01AG007232,0.0,TargetOnly
2008.0,2008P01AG008761,1862365.0,TargetOnly
2009.0,2009P01AG009215,1585535.0,TargetOnly
2004.0,2004P01AG009215,2112447.0,TargetOnly
2003.0,2003P01AG009215,2112925.0,TargetOnly
2002.0,2002P01AG009215,2028253.0,TargetOnly
2000.0,2000P01AG009215,2152497.0,TargetOnly
1999.0,1999P01AG009215,0.0,TargetOnly
2011.0,2011P01AG009464,1901784.0,TargetOnly
2010.0,2010P01AG009464,1981826.0,TargetOnly
2009.0,2009P01AG009464,1994964.0,TargetOnly
2007.0,2007P01AG009464,1682853.0,TargetOnly
2005.0,2005P01AG009464,1665047.0,TargetOnly
2002.0,2002P01AG009464,1679461.0,TargetOnly
2001.0,2001P01AG009464,1637631.0,TargetOnly
2000.0,2000P01AG009464,1465445.0,TargetOnly
1999.0,1999P01AG009464,0.0,TargetOnly
2012.0,2012P01AG009466,155309.0,TargetOnly
2007.0,2007P01AG009466,2163919.0,TargetOnly
2006.0,2006P01AG009466,2171838.0,TargetOnly
2005.0,2005P01AG009466,2306227.0,TargetOnly
2003.0,2003P01AG009466,1771230.0,TargetOnly
2002.0,2002P01AG009466,1722683.0,TargetOnly
1999.0,1999P01AG009466,0.0,TargetOnly
2014.0,2014P01AG010435,1656096.0,TargetOnly
2013.0,2013P01AG010435,1574401.0,TargetOnly
2011.0,2011P01AG010435,1740001.0,TargetOnly
2012.0,2012P01AG010435,1694458.0,TargetOnly
2010.0,2010P01AG010435,1881009.0,TargetOnly
2009.0,2009P01AG010435,468200.0,TargetOnly
2008.0,2008P01AG010435,291575.0,TargetOnly
2006.0,2006P01AG010435,2496395.0,TargetOnly
2005.0,2005P01AG010435,2584685.0,TargetOnly
2007.0,2007P01AG010485,1752821.0,TargetOnly
2006.0,2006P01AG010485,1646791.0,TargetOnly
2015.0,2015P01AG010770,1920214.0,TargetOnly
2014.0,2014P01AG010770,2079228.0,TargetOnly
2012.0,2012P01AG010770,2091059.0,TargetOnly
2011.0,2011P01AG010770,2165866.0,TargetOnly
2007.0,2007P01AG010770,2189227.0,TargetOnly
2008.0,2008P01AG010836,2019291.0,TargetOnly
2007.0,2007P01AG010836,1773249.0,TargetOnly
2006.0,2006P01AG010836,1823522.0,TargetOnly
